City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,airai,96,TL,1577562096,83,-8.93,125.41,68.97,5.5
1,georgetown,40,GY,1577561967,74,6.8,-58.16,86.0,9.17
2,puerto ayora,20,EC,1577562088,65,-0.74,-90.35,82.4,12.75
3,rikitea,87,PF,1577562077,82,-23.12,-134.97,76.78,12.57
4,ahipara,0,NZ,1577561796,100,-35.17,173.16,57.99,15.14
5,constantine,75,DZ,1577562057,81,36.36,6.61,46.4,10.29
6,khatanga,47,RU,1577562082,89,71.98,102.47,-23.76,7.72
7,saldanha,0,PT,1577562080,56,41.42,-6.55,43.09,3.65
8,yerbogachen,97,RU,1577562155,93,61.28,108.01,-26.73,9.69
9,albany,75,US,1577562084,56,42.65,-73.75,44.01,12.75
10,new norfolk,20,AU,1577562067,87,-42.78,147.06,59.0,8.05
11,pierre,90,US,1577561991,92,44.37,-100.35,33.01,17.22
12,ushuaia,75,AR,1577562078,38,-54.81,-68.31,59.0,18.34
13,saint-philippe,1,CA,1577562077,60,45.36,-73.48,42.01,16.11
14,upernavik,8,GL,1577562083,52,72.79,-56.15,0.73,4.5
15,pevek,0,RU,1577562102,95,69.7,170.27,-12.55,7.2
16,hermanus,92,ZA,1577562089,74,-34.42,19.24,66.0,8.99
17,bluff,93,AU,1577562081,70,-23.58,149.07,72.05,16.13
18,guerrero negro,0,MX,1577562118,51,27.97,-114.04,62.22,11.18
19,lebu,42,ET,1577562078,90,8.96,38.73,54.82,3.74
20,mahdasht,20,IR,1577562156,39,35.73,50.81,46.4,11.41
21,batticaloa,99,LK,1577562156,79,7.71,81.69,73.06,2.26
22,marienburg,100,DE,1577561832,81,52.12,9.98,33.8,4.7
23,punta arenas,40,CL,1577562079,42,-53.16,-70.91,62.6,38.03
24,kulhudhuffushi,6,MV,1577562156,81,6.62,73.07,80.65,12.91
25,vila velha,43,BR,1577562082,58,-3.71,-38.6,86.0,16.11
26,hobart,20,AU,1577562042,87,-42.88,147.33,59.0,8.05
27,banda aceh,10,ID,1577562156,96,5.56,95.32,72.82,4.16
28,thompson,90,CA,1577562117,84,55.74,-97.86,3.2,2.24
29,bandarbeyla,15,SO,1577562110,81,9.49,50.81,78.67,21.21
30,curvelo,0,BR,1577562157,72,-18.76,-44.43,76.91,4.5
31,hasaki,40,JP,1577562081,86,35.73,140.83,30.2,1.12
32,clyde river,1,CA,1577562157,84,70.47,-68.59,3.2,5.82
33,mumford,10,GH,1577562157,81,5.26,-0.76,79.18,2.46
34,evanston,90,US,1577561834,80,42.04,-87.69,42.01,8.05
35,kruisfontein,98,ZA,1577562092,78,-34.0,24.73,63.34,14.45
36,kodiak,90,US,1577562089,100,39.95,-94.76,55.0,12.75
37,bethel,1,US,1577562085,68,60.79,-161.76,-14.8,17.22
38,sand springs,90,US,1577562158,93,36.14,-96.11,62.6,9.17
39,gallup,90,US,1577562061,86,35.53,-108.74,30.2,11.41
40,la ronge,75,CA,1577561930,84,55.1,-105.3,6.8,4.7
41,goundam,0,ML,1577562158,10,16.42,-3.66,71.33,8.59
42,utica,90,US,1577562158,69,43.1,-75.23,41.0,8.05
43,wajir,93,KE,1577562158,37,1.75,40.07,87.26,8.34
44,klaksvik,90,FO,1577561813,100,62.23,-6.59,46.4,10.29
45,mataura,100,NZ,1577562077,81,-46.19,168.86,51.01,1.99
46,lorengau,55,PG,1577562129,74,-2.02,147.27,82.15,9.24
47,bubaque,0,GW,1577561770,66,11.28,-15.83,80.64,13.06
48,broome,75,GB,1577562159,93,52.47,1.45,46.99,8.05
49,saskylakh,94,RU,1577562076,95,71.97,114.09,-21.08,7.92
50,ankang,0,CN,1577562159,85,32.73,108.99,36.48,2.44
51,karakulino,84,RU,1577562159,90,56.01,53.71,11.79,12.21
52,leningradskiy,0,RU,1577562118,84,69.38,178.42,-12.14,0.69
53,bage,9,IN,1577562159,91,12.95,75.85,63.23,5.75
54,lagoa,0,PT,1577562083,67,37.14,-8.45,61.0,6.93
55,tuktoyaktuk,40,CA,1577562085,66,69.44,-133.03,-32.8,4.7
56,faanui,98,PF,1577562099,74,-16.48,-151.75,79.7,2.26
57,butaritari,4,KI,1577562098,82,3.07,172.79,83.3,13.42
58,zhigansk,18,RU,1577562110,90,66.77,123.37,-36.33,11.23
59,veraval,75,FR,1577562160,86,49.65,0.71,44.6,6.93
60,atambua,100,ID,1577561814,85,-9.11,124.89,76.37,2.89
61,atuona,24,PF,1577562081,78,-9.8,-139.03,81.1,15.75
62,tabuk,94,PH,1577562028,90,17.41,121.44,72.23,1.66
63,carnarvon,65,ZA,1577562090,29,-30.97,22.13,69.8,13.49
64,esperance,0,AU,1577562104,72,-33.86,121.89,64.4,9.17
65,dikson,45,RU,1577562092,96,73.51,80.55,-20.27,11.12
66,port-gentil,40,GA,1577562161,88,-0.72,8.78,82.4,4.7
67,cape town,4,ZA,1577561943,60,-33.93,18.42,69.01,21.92
68,genhe,0,CN,1577562161,89,50.78,121.52,-20.72,4.7
69,inhambane,20,MZ,1577562161,78,-23.87,35.38,77.0,16.46
70,maloy,83,ID,1577562114,98,1.0,118.1,72.93,2.3
71,bathsheba,40,BB,1577562112,66,13.22,-59.52,84.2,18.34
72,meadow lake,5,CA,1577562162,92,54.13,-108.44,15.8,5.82
73,evensk,0,RU,1577562162,54,61.92,159.24,-6.32,8.95
74,weinan,0,CN,1577562162,85,34.5,109.46,42.01,1.77
75,hilo,90,US,1577562077,74,19.71,-155.08,78.8,5.82
76,san patricio,56,PY,1577562131,40,-26.98,-56.83,96.84,4.81
77,arlit,0,NE,1577562131,17,18.74,7.39,67.32,10.71
78,busselton,55,AU,1577562085,61,-33.64,115.35,60.01,8.1
79,jamestown,0,AU,1577562086,31,-33.21,138.6,82.11,6.33
80,barrow,30,AR,1577562099,75,-38.31,-60.23,75.7,12.44
81,geraldton,90,CA,1577562111,79,49.72,-86.95,23.0,4.7
82,hovd,75,NO,1577562163,69,63.83,10.7,45.0,10.29
83,darhan,100,MN,1577561796,87,49.49,105.92,-18.63,1.41
84,half moon bay,20,US,1577561897,76,37.46,-122.43,57.99,3.36
85,fallon,1,US,1577562163,73,46.84,-105.12,27.0,12.75
86,ruteng,100,ID,1577562163,92,-8.61,120.46,70.02,2.19
87,norman wells,90,CA,1577562077,75,65.28,-126.83,-20.2,3.36
88,ulladulla,90,AU,1577562164,100,-35.36,150.48,64.4,4.7
89,bredasdorp,100,ZA,1577562084,68,-34.53,20.04,66.2,13.87
90,avarua,100,CK,1577562076,69,-21.21,-159.78,78.8,16.11
91,yellowknife,75,CA,1577562079,76,62.45,-114.38,-11.0,8.05
92,qaanaaq,0,GL,1577562091,40,77.48,-69.36,0.27,5.73
93,cabedelo,40,BR,1577562121,66,-6.97,-34.84,84.2,14.99
94,montepuez,100,MZ,1577562164,98,-13.13,39.0,70.16,3.91
95,broadstairs,90,GB,1577562164,81,51.36,1.44,46.99,10.29
96,santa maria,40,BR,1577562164,40,-16.02,-48.01,86.0,9.17
97,vila franca do campo,40,PT,1577562165,88,37.72,-25.43,66.2,23.04
98,san quintin,0,PH,1577562165,87,17.54,120.52,71.22,3.36
99,sabha,0,LY,1577562165,46,27.03,14.43,50.14,2.8
100,turayf,0,SA,1577562165,80,31.68,38.65,41.0,6.93
101,kapaa,90,US,1577562085,83,22.08,-159.32,77.0,19.46
102,port hardy,90,CA,1577562101,87,50.7,-127.42,44.6,21.92
103,barreirinha,92,BR,1577562165,64,-2.8,-57.07,86.86,1.3
104,nikolskoye,90,RU,1577562099,73,59.7,30.79,28.0,6.71
105,keti bandar,0,PK,1577561835,52,24.14,67.45,63.48,8.05
106,salalah,40,OM,1577562095,69,17.01,54.1,73.4,21.92
107,san luis,75,AR,1577562114,69,-33.3,-66.34,77.0,24.16
108,arraial do cabo,0,BR,1577562084,69,-22.97,-42.02,82.4,19.46
109,waterloo,0,SL,1577562074,75,8.34,-13.07,76.73,4.74
110,ixtapa,90,MX,1577562166,83,20.71,-105.21,77.0,4.7
111,rock sound,64,BS,1577562166,83,24.9,-76.2,75.0,23.0
112,biak,100,ID,1577562166,74,-0.91,122.88,82.33,9.4
113,opuwo,100,NA,1577562166,52,-18.06,13.84,73.17,7.34
114,ciechocinek,75,PL,1577562166,86,52.88,18.79,35.01,4.7
115,viedma,83,AR,1577562087,27,-40.81,-62.99,70.29,10.83
116,west bay,90,CA,1577561987,93,49.34,-123.21,44.01,9.17
117,sechura,21,PE,1577562101,92,-5.56,-80.82,69.15,17.13
118,puerto maldonado,90,PE,1577562167,100,-12.59,-69.19,73.4,3.36
119,matara,100,BI,1577562167,90,-3.48,29.48,58.77,1.68
120,barcelona,20,ES,1577561924,87,41.38,2.18,57.0,4.7
121,iqaluit,40,CA,1577562167,69,63.75,-68.52,-13.0,11.41
122,noumea,20,NC,1577562119,94,-22.28,166.46,78.01,5.82
123,grindavik,90,IS,1577562083,100,63.84,-22.43,37.4,9.17
124,lloydminster,5,CA,1577561882,72,53.28,-110.01,17.6,12.75
125,shimoda,74,JP,1577562096,75,34.7,138.93,42.01,18.95
126,provideniya,0,RU,1577562095,82,64.42,-173.23,-10.88,6.29
127,troitskoye,8,RU,1577562168,81,52.98,84.68,1.04,7.56
128,coihaique,75,CL,1577562124,51,-45.58,-72.07,60.8,12.75
129,adre,0,TD,1577561791,15,13.47,22.2,59.85,7.43
130,kayanga,14,TZ,1577562168,90,-1.53,31.15,62.62,1.5
131,constitucion,90,MX,1577562086,11,23.99,-104.67,66.2,20.8
132,mahebourg,75,MU,1577562092,88,-20.41,57.7,78.01,11.41
133,nanortalik,100,GL,1577562092,85,60.14,-45.24,30.49,8.05
134,cherskiy,100,RU,1577562169,82,68.75,161.3,-15.52,6.71
135,sambava,99,MG,1577562095,96,-14.27,50.17,71.76,2.26
136,mantua,16,IT,1577562169,79,45.16,10.79,43.0,5.82
137,general pico,52,AR,1577562169,38,-35.66,-63.75,95.47,2.46
138,aklavik,90,CA,1577562169,67,68.22,-135.01,-25.6,4.7
139,souillac,32,FR,1577562081,81,45.6,-0.6,44.6,2.24
140,elko,90,US,1577561938,58,40.83,-115.76,32.0,4.7
141,lavrentiya,0,RU,1577562170,84,65.58,-170.99,-11.83,9.93
142,rayong,20,TH,1577562170,83,12.68,101.28,75.99,4.7
143,sosva,100,RU,1577562170,93,59.17,61.86,5.81,8.97
144,manokwari,67,ID,1577562170,78,-0.87,134.08,72.43,3.91
145,morant bay,20,JM,1577561820,74,17.88,-76.41,86.0,14.99
146,waingapu,100,ID,1577562110,75,-9.65,120.26,84.78,5.03
147,pacific grove,1,US,1577562102,58,36.62,-121.92,57.0,7.49
148,kirakira,0,SB,1577562170,73,-10.46,161.92,79.92,2.98
149,vaini,100,IN,1577562097,90,15.34,74.49,66.07,5.08
150,el alto,75,BO,1577562171,54,-16.5,-68.19,59.0,11.41
151,anloga,20,GH,1577561831,70,5.79,0.9,86.0,4.7
152,ngerengere,100,TZ,1577562171,92,-6.76,38.13,75.31,1.92
153,yarim,100,YE,1577562171,37,14.3,44.38,51.26,5.75
154,chippewa falls,90,US,1577562171,98,44.94,-91.39,36.0,8.05
155,micomeseng,89,GQ,1577562171,98,2.15,10.62,71.6,2.17
156,severo-kurilsk,100,RU,1577562094,97,50.68,156.12,27.46,34.14
157,chiang rai,40,TH,1577562172,100,19.9,99.84,64.4,2.24
158,srednekolymsk,83,RU,1577562172,83,67.46,153.71,-24.95,3.09
159,rawson,0,AR,1577562172,64,-43.3,-65.11,60.22,18.75
160,russell,90,US,1577562133,93,38.9,-98.86,44.6,10.29
161,sitka,26,US,1577562102,38,37.17,-99.65,59.9,15.77
162,narrabri,0,AU,1577562172,44,-30.33,149.78,75.2,18.34
163,mirnyy,100,RU,1577562172,80,56.57,36.46,25.36,8.12
164,kudahuvadhoo,39,MV,1577562172,78,2.67,72.89,81.75,11.52
165,capoterra,20,IT,1577562172,81,39.18,8.97,53.6,5.82
166,carauari,82,BR,1577562173,81,-4.88,-66.9,85.78,1.61
167,castro,20,CL,1577562092,59,-42.48,-73.76,64.4,8.05
168,chauk,0,MM,1577562173,88,20.89,94.82,60.6,7.47
169,port alfred,34,ZA,1577562088,86,-33.59,26.89,66.0,5.01
170,otofuke,10,JP,1577562173,77,43.02,143.2,18.41,10.76
171,ponta do sol,2,BR,1577562111,79,-20.63,-46.0,75.47,3.67
172,karpogory,0,RU,1577561804,94,64.0,44.44,3.31,4.99
173,bronnoysund,90,NO,1577562173,80,65.46,12.2,41.0,18.34
174,nome,90,US,1577562080,88,30.04,-94.42,75.2,11.41
175,beaumont,90,US,1577561936,88,30.09,-94.1,75.2,11.41
176,rio grande,20,BR,1577561789,53,-32.03,-52.1,96.8,10.29
177,ostrovnoy,100,RU,1577562130,83,68.05,39.51,19.78,39.95
178,havre-saint-pierre,75,CA,1577562174,79,50.23,-63.6,23.0,8.05
179,tasiilaq,100,GL,1577562100,79,65.61,-37.64,26.6,25.28
180,ribeira grande,90,PT,1577562124,82,38.52,-28.7,55.4,5.82
181,aberfeldy,75,GB,1577562174,81,56.62,-3.87,51.01,11.41
182,qena,0,EG,1577562174,54,26.16,32.72,55.4,4.52
183,marsh harbour,80,BS,1577562174,79,26.54,-77.06,74.1,18.52
184,avera,90,US,1577561804,73,33.19,-82.53,73.0,6.93
185,shostka,100,UA,1577562175,85,51.86,33.47,29.37,12.01
186,guangyuan,29,CN,1577561827,74,32.43,105.86,42.01,2.35
187,jalu,0,LY,1577561800,75,29.03,21.55,54.52,9.6
188,camacha,75,PT,1577562175,93,33.08,-16.33,68.0,9.17
189,richards bay,100,ZA,1577562120,77,-28.77,32.06,72.1,14.54
190,narsaq,90,GL,1577562083,92,60.91,-46.05,24.8,1.16
191,taltal,77,CL,1577562095,66,-25.41,-70.49,65.75,6.49
192,yaan,0,NG,1577562118,19,7.38,8.57,79.75,2.73
193,hithadhoo,100,MV,1577562087,78,-0.6,73.08,82.02,9.64
194,port elizabeth,1,US,1577562097,54,39.31,-74.98,60.01,6.93
195,herat,0,AF,1577562176,41,34.35,62.22,42.8,5.82
196,lasa,75,CY,1577562176,87,34.92,32.53,53.6,8.05
197,saint anthony,90,US,1577562102,85,43.97,-111.68,23.0,3.18
198,tautira,40,PF,1577562176,78,-17.73,-149.15,82.4,13.87
199,alice springs,33,AU,1577561536,32,-23.7,133.88,80.6,9.95
200,teahupoo,40,PF,1577562176,78,-17.83,-149.27,82.4,13.87
201,khasan,100,RU,1577562117,95,42.43,130.64,17.71,2.35
202,bitam,66,GA,1577562078,85,2.08,11.49,71.47,4.41
203,laguna,40,BZ,1577562100,78,16.17,-88.94,78.8,6.93
204,dauriya,100,RU,1577562177,84,49.93,116.85,-11.16,10.2
205,caravelas,4,BR,1577562135,74,-17.73,-39.27,77.56,8.05
206,fier,0,AL,1577562177,46,40.73,19.56,40.77,12.88
207,walvis bay,27,NA,1577562100,77,-22.95,14.51,64.4,4.7
208,kaeo,0,NZ,1577562177,100,-35.1,173.78,60.01,3.06
209,ishinomaki,0,JP,1577562177,75,38.42,141.3,34.77,8.23
210,mareeba,90,AU,1577562130,88,-16.99,145.42,77.0,5.82
211,edmond,100,US,1577562177,93,35.66,-97.47,61.0,16.11
212,artyom,20,RU,1577562178,65,43.36,132.19,6.8,4.47
213,bud,75,NO,1577562089,86,62.91,6.91,50.0,6.93
214,fortuna,1,US,1577561790,66,40.6,-124.16,51.01,5.64
215,antofagasta,20,CL,1577561811,68,-23.65,-70.4,72.0,17.22
216,belturbet,100,GB,1577562178,83,54.1,-7.44,50.0,3.0
217,plettenberg bay,0,ZA,1577562094,84,-34.05,23.37,64.26,12.03
218,kaitangata,100,NZ,1577562093,72,-46.28,169.85,51.01,3.0
219,dingle,2,PH,1577562108,92,11.0,122.67,71.13,8.05
220,tiksi,98,RU,1577562097,87,71.64,128.87,-29.02,6.26
221,mar del plata,0,AR,1577561829,26,-46.43,-67.52,74.93,12.5
222,puerto escondido,40,MX,1577561829,66,15.86,-97.07,84.2,8.05
223,cradock,0,ZA,1577562179,64,-32.16,25.62,63.03,5.97
224,pyapon,0,MM,1577562109,71,16.29,95.68,71.38,7.49
225,buin,0,CL,1577561787,18,-33.73,-70.74,93.2,8.05
226,luwuk,100,ID,1577562179,77,-0.95,122.79,81.75,7.2
227,ishigaki,100,JP,1577561961,81,24.34,124.16,71.8,15.23
228,saint george,75,GR,1577562107,65,39.45,22.34,41.0,9.17
229,lamesa,90,US,1577562179,30,32.74,-101.95,57.2,21.92
230,mogadishu,33,SO,1577562104,82,2.04,45.34,81.23,22.3
231,moron,9,HT,1577562180,72,18.56,-74.26,80.42,7.14
232,loviisa,100,FI,1577562180,92,60.46,26.23,17.01,1.12
233,port lincoln,0,AU,1577561923,62,-34.72,135.86,69.28,6.17
234,saint-francois,90,FR,1577562180,75,46.42,3.91,42.8,3.36
235,grand gaube,75,MU,1577561799,88,-20.01,57.66,78.01,11.41
236,baghdad,0,IQ,1577562010,66,33.3,44.38,50.0,3.36
237,sao joao da barra,20,BR,1577562115,65,-21.64,-41.05,84.2,13.87
238,namatanai,50,PG,1577561834,76,-3.66,152.44,82.71,14.05
239,torbay,90,CA,1577562093,98,47.66,-52.73,33.8,20.8
240,boa vista,75,BR,1577562181,52,2.82,-60.67,91.4,13.87
241,yamada,20,JP,1577561781,62,36.58,137.08,36.0,2.24
242,minna,0,NG,1577562181,28,9.62,6.55,82.4,9.17
243,ballina,75,IE,1577562181,87,54.11,-9.15,55.99,17.22
244,maun,75,BW,1577562181,74,-19.99,23.42,78.8,4.7
245,wamba,0,CD,1577562181,54,2.14,27.99,66.63,1.77
246,bambous virieux,75,MU,1577562097,88,-20.34,57.76,78.01,11.41
247,chernyshevskiy,100,RU,1577562182,96,63.01,112.47,-21.75,7.78
248,mikhaylovka,0,RU,1577562098,98,52.96,103.29,-35.28,1.66
249,bilma,0,NE,1577562094,23,18.69,12.92,60.66,7.74
250,khandyga,100,RU,1577562182,98,62.65,135.58,-29.52,2.44
251,la sarre,100,CA,1577562182,94,48.8,-79.2,27.82,9.89
252,fukue,20,JP,1577561817,76,35.03,136.69,41.0,13.87
253,husavik,100,CA,1577562102,79,50.56,-96.99,21.0,3.58
254,boueni,95,YT,1577562182,100,-12.9,45.08,78.8,4.7
255,hailar,100,CN,1577562182,95,49.2,119.7,-1.43,14.43
256,touros,40,BR,1577562121,62,-5.2,-35.46,84.2,16.11
257,kindia,0,GN,1577562183,49,10.05,-12.86,73.11,3.31
258,atar,0,MR,1577561818,13,20.52,-13.05,84.2,6.93
259,kokkola,75,FI,1577562183,85,63.84,23.13,39.0,18.34
260,aseri,6,EE,1577562183,67,59.45,26.87,29.16,4.72
261,marshfield,1,US,1577562033,49,42.09,-70.71,48.99,10.29
262,superior,90,US,1577562023,68,39.95,-105.17,30.99,21.92
263,redcliffe,75,AU,1577562183,82,-31.94,115.94,68.0,5.82
264,xuddur,51,SO,1577562184,46,4.12,43.89,77.86,9.6
265,lengshuitan,100,CN,1577562184,85,26.41,111.6,46.27,1.83
266,praia da vitoria,75,PT,1577561818,93,38.73,-27.07,55.4,13.33
267,longyearbyen,40,NO,1577562092,72,78.22,15.63,17.6,21.92
268,sao miguel do araguaia,96,BR,1577562125,67,-13.28,-50.16,86.34,2.3
269,te anau,100,NZ,1577562184,75,-45.41,167.72,47.86,8.39
270,poso,77,ID,1577562185,84,-1.4,120.75,69.31,1.43
271,vydrino,100,RU,1577562185,100,51.46,104.64,-2.94,9.04
272,nishihara,75,JP,1577562185,56,35.74,139.53,43.0,10.29
273,sovetskiy,87,RU,1577562185,92,56.76,48.47,15.12,13.02
274,kohat,5,PK,1577562185,87,33.6,71.44,42.8,4.7
